testcase|DONOTREMOVE|testName|linktophoto
asdf|ChIJzy15Rp2j6IgRu8WtHUhwnb8|Starbucks|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jnvi4a7-wuz8RuT_Kst6hyxmtkpO7CZJ4QPscnKO_3kLL5B3kRCOglUhX4Qy0hgridgeO_f7tZDZprP2G5JU1H7w4x_uwgVroYYlNvaN-j_UcLpgA49wFK0iihAZorBex6WDe97f651_Wf0yJb62BCVu3fxCO23tO1d4Ljf2a9seq0M&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
asdf|ChIJu5kBA4Sj6IgRjnomyk5ngJI|Krispy Kreme|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jk8DxfaYA3GUA1Bj5ufJaD7J257xUbUcFRaQMMSlJJIIupJL0H7zCo5QljaUq7jgfE2eUFCWyUdukCPxlU6aJSrOc74Kwqos5Wzy7r5pHHAFHX-3kS5R1xs5FI533k78lgLMDqFWIaV0aek5Rs9a6_kxHCS0cEslbBQ-tBIqJfCT3GB&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
sakara|ChIJ-XytOIKj6IgRro9gmn8G7ok|Pascal's Coffeehouse|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jmYFWHDa1R5WwryJhNU6Q81FPnNOwZGDxBNLzld0Cnk1J7OJnqs5cp23S0pJyFIz_VmAFd-cd3bjOPotDS2JM1AXkEo02H4YRcIZW5XJTalTMbRloe4BjRT_I7Il3yZjjxm_4_K7KJvdcvyqBTlUt-cKW60NvhE1Wvyjp4ehIDuF9ZF&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
sakara|ChIJU66uvIWj6IgR_T3rKgn_tGY|Karma Cream|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jkeeqbvtvhmbMp3ojZgIT50gXSm9pbng5PLMFquFW0l_peQIm8UFPaeobaQxsnwuX0He4FIGSOSxEvpvS4vl0oP_PSu7R9bb2mxDxEMwEcSJBpWERzinvA4htIkV4x3gnagkJQ5eWrRfSTRUHLcXduX0omshSZZQoaBJFqd9QWyGLdt&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
sakara|ChIJidCpQp6j6IgRAdr1q-Sz6xY|Einstein Bros. Bagels|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jkyRPCAwiJCzzOFSn9-5Lua2pPR4V7qAAf-6ul41L1wPxlLo4vud__XRtCWgnp5wEdGtXAqKMnQoS2jYLmZ3_NnxZLgTc7SKncPm6G5jQABv4cXyi_UluNVz602_Th1yDcd21ZzD7pUX_NZiyMocc3-DWHyl2dP9D6V7SMKKGCMAQ97&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
asdf|ChIJTbgFM42j6IgR_PZ-IHnxMb8|Maude's Cafe|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AfLeUgOYJ5xrBlLqzoE0XXXe3tpe7zMkvoMfnIPc_bpj435ePxAZO88GUB6p_MBHo7cdCiExb5jhe5znY7pgGVVXNsAwSzUPk3TYl5xhzO6lBk_aA6ThhjLc0REalRwpzsJjacmx2q09yNu3m8HfZVumMyVOKjXkB_hI6he6prxFzRgPAYeK&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
asdf|ChIJ7_ZotXSj6IgRwcIuWZQfK8I|Opus Coffee - UF Health Medical Plaza|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jlb4Q-5yYg0HZb4eVtGpPQzLcNmXbLm0vi_YR1GjwO2QGMyAMcd4-EeQSOCjFbIwUzL5KMEXq5knHg80TFyFFoW_9lh6AtSwCS24RjbRc6LXfZ7maL8qHhF4lviNrhlz7y_84PHcJkrm5NOOrisP_AKJn5Ux4SaEemuu354zMpXHBRL&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
asdf|ChIJ7_qnDJ-j6IgREoFuRI9_iiQ|Opus Coffee - UF Health East Tower|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jkZ6ZvuZMec_B0pku7lUDs7BIwFD313KiZVznMTkLJHkPTdt0DnGOOQ2xwOr55gyy4Kb_h9rBNwf5PH2eUudksbX5TIX3gsssNx7rmoZOHdDgLIn8teP9CIZlu5jKS3zGG43TetBKl8XumZ4TCiVtDrJXjgaVWfu-0d0aqbFb0IkGNg&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJSY-p-I2j6IgR32n1JzbU0vU|Opus Coffee - Airstream|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jk2GFMNbQLxd6VhZeSZ4ecVG6Lxnsx2JGAc_b3YKFYDJhmhH8TdztwmbSN9s5qzkK5jr67df-DBdL1ZPo_1UiWroN7io6KtjG26XseJlZag4RFmcAvmkwT3ClLG918X1L1FYiJxOuWp3FE1nclxm_DuFeYqKhHWKhiCu3Cu43PgmqCt&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
karentong|ChIJ7_ZotXSj6IgRwcIuWZQfK8I|Opus Coffee - UF Health Medical Plaza|https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photo_reference=AUjq9jmS1IGte-TNnPlIpb5rXYY2knYlukf2ur1DeSVd0d40JbWMpFQm3m06vQjvA3R7CVP-Cld8hqFt9tjxIfVD7dtB_nQoum_nK7v3RsOTUk2VpqRpyLwcfxy5HcyBBhy62AdD1RK_q-CkWd2GaFJZqHeHf9W5XnE8PCQutnTYK0ZXwhsL&key=AIzaSyCug_XiU8cTDBlULG_BXe0UhYMgBkSSd9k
